NO,RSSI1,RSSI2,RSSI3,RSSI4,RSSI5,RSSI6,TARGET
438,-72,-77,-74,-70,-87,-79,31
439,-71,-77,-74,-70,-86,-78,31
440,-71,-75,-72,-68,-86,-75,31
441,-71,-76,-72,-68,-86,-77,31
442,-71,-76,-76,-69,-87,-80,31
443,-71,-76,-74,-70,-87,-76,31
444,-71,-77,-74,-69,-89,-80,31
445,-71,-77,-74,-69,-87,-69,31
446,-71,-76,-75,-70,-87,-80,31
447,-66,-81,-76,-70,-82,-76,31
448,-70,-77,-74,-70,-88,-82,31
449,-71,-78,-73,-70,-89,-79,31
450,-71,-79,-76,-70,-90,-81,31
451,-71,-75,-73,-69,-86,-77,31
452,-71,-76,-75,-69,-89,-80,31
453,-69,-78,-75,-70,-88,-76,31
454,-71,-75,-73,-69,-86,-78,31
455,-71,-76,-72,-69,-88,-81,31
456,-71,-76,-73,-69,-88,-79,31
457,-71,-75,-73,-69,-88,-79,31
458,-71,-75,-73,-68,-86,-79,31
459,-71,-75,-74,-70,-88,-78,31
460,-69,-75,-74,-70,-88,-79,31
461,-70,-76,-73,-69,-88,-79,31
462,-65,-84,-71,-67,-80,-69,31
463,-71,-76,-74,-71,-89,-81,31
464,-71,-76,-72,-69,-88,-79,31
465,-71,-76,-69,-69,-80,-78,31
466,-71,-76,-73,-70,-86,-79,31
467,-71,-76,-72,-69,-87,-79,31
468,-71,-76,-73,-68,-87,-79,31
469,-71,-75,-73,-68,-86,-78,31
470,-69,-76,-72,-69,-87,-77,31
471,-71,-76,-74,-69,-86,-77,31
472,-71,-77,-73,-65,-89,-81,31
473,-72,-76,-73,-70,-87,-79,31
474,-67,-83,-69,-68,-81,-69,31
475,-71,-76,-74,-70,-88,-81,31
476,-72,-83,-73,-70,-87,-79,31
477,-71,-77,-73,-69,-87,-78,31
478,-71,-75,-71,-70,-88,-79,31
479,-71,-76,-74,-69,-88,-80,31
480,-71,-76,-73,-68,-86,-77,31
481,-71,-77,-71,-68,-87,-79,31
482,-71,-76,-72,-68,-87,-78,31
483,-71,-76,-72,-68,-87,-80,31
484,-71,-76,-72,-68,-87,-78,31
485,-66,-76,-72,-69,-87,-78,31
486,-71,-76,-70,-69,-81,-70,31
487,-72,-76,-71,-69,-87,-80,31
488,-72,-77,-71,-69,-86,-78,31
489,-72,-77,-72,-68,-86,-78,31
490,-72,-76,-71,-67,-81,-77,31
491,-65,-76,-71,-67,-80,-68,31
492,-72,-76,-72,-68,-87,-80,31
493,-72,-76,-72,-69,-87,-79,31
494,-71,-77,-73,-69,-87,-80,31
495,-72,-77,-74,-69,-87,-81,31
496,-72,-77,-74,-69,-87,-81,31
497,-71,-76,-74,-68,-87,-78,31
498,-71,-77,-76,-69,-88,-82,31
499,-71,-75,-76,-70,-92,-80,31
500,-72,-76,-76,-69,-88,-81,31
501,-71,-75,-72,-68,-87,-79,31
502,-70,-76,-75,-69,-88,-78,31
503,-71,-76,-75,-68,-86,-78,31
504,-71,-76,-74,-70,-87,-81,31
505,-71,-76,-74,-67,-86,-78,31
506,-71,-76,-74,-69,-86,-77,31
507,-72,-77,-72,-68,-86,-78,31
508,-71,-80,-71,-76,-82,-78,11
509,-70,-73,-67,-75,-83,-78,11
510,-74,-82,-73,-91,-81,-75,11
511,-74,-79,-64,-78,-81,-79,11
512,-71,-72,-65,-73,-85,-74,11
513,-74,-79,-69,-79,-83,-82,11
514,-75,-78,-68,-79,-82,-83,11
515,-75,-79,-68,-77,-82,-84,11
516,-74,-79,-67,-79,-83,-83,11
517,-75,-81,-68,-80,-83,-82,11
518,-75,-79,-68,-79,-82,-82,11
519,-74,-80,-68,-79,-82,-84,11
520,-75,-80,-68,-80,-82,-81,11
521,-75,-79,-65,-79,-82,-85,11
522,-74,-78,-67,-78,-83,-80,11
523,-74,-73,-66,-79,-86,-79,11
524,-74,-79,-67,-79,-81,-81,11
525,-71,-80,-69,-73,-81,-80,11
526,-74,-80,-67,-79,-81,-81,11
527,-74,-79,-63,-78,-83,-74,11
528,-71,-79,-64,-77,-83,-84,11
529,-74,-79,-65,-77,-83,-83,11
530,-74,-79,-66,-77,-83,-81,11
531,-73,-80,-67,-73,-81,-83,11
